# Time-averaged data for fix OUT2
# TimeStep v_vT v_rho v_ent
495000 2222.62 6.64733 -4.31203
496000 2215.58 6.63794 -4.32429
497000 2217.86 6.64358 -4.31811
498000 2238.83 6.64784 -4.30609
499000 2236.53 6.64854 -4.312
500000 2220.53 6.64697 -4.31063
501000 2224.58 6.65424 -4.30772
502000 2214.03 6.65231 -4.31353
503000 2232.53 6.65203 -4.31327
504000 2224.58 6.66374 -4.3004
505000 2215.15 6.64689 -4.3202
506000 2232.92 6.64726 -4.32309
507000 2214.52 6.65283 -4.31813
508000 2204.11 6.64499 -4.33034
509000 2215.48 6.65514 -4.3145
510000 2214.11 6.65448 -4.31589
511000 2194.06 6.65677 -4.3123
512000 2214.43 6.65164 -4.31043
513000 2203.92 6.66223 -4.31052
514000 2212.81 6.65512 -4.31236
515000 2197.59 6.65407 -4.31799
516000 2197.66 6.65804 -4.32619
517000 2200.07 6.65335 -4.32385
518000 2213.12 6.65937 -4.31275
519000 2195.38 6.65602 -4.32016
520000 2201.81 6.65286 -4.32947
521000 2205.62 6.65097 -4.32412
522000 2192.31 6.65775 -4.32226
523000 2190.33 6.66429 -4.32066
524000 2198.81 6.65606 -4.32132
525000 2188.08 6.66791 -4.31678
526000 2191.72 6.66244 -4.3166
527000 2183.8 6.66544 -4.31877
528000 2203.29 6.66075 -4.3196
529000 2185.71 6.66293 -4.31991
530000 2182.1 6.66785 -4.32144
531000 2180.8 6.66859 -4.31562
532000 2185.51 6.65755 -4.32977
533000 2189.78 6.65616 -4.33143
534000 2195.63 6.65937 -4.32106
535000 2185.96 6.66441 -4.31807
536000 2185.96 6.66417 -4.32545
537000 2181.25 6.66826 -4.32106
538000 2183.05 6.66956 -4.32298
539000 2178.17 6.66968 -4.32992
540000 2186.04 6.65903 -4.33352
541000 2182.77 6.66554 -4.32636
542000 2177.58 6.67117 -4.31601
543000 2177.74 6.66933 -4.31637
544000 2176.48 6.6621 -4.32991
545000 2172.16 6.66577 -4.33995
546000 2177.64 6.66665 -4.32739
547000 2175.11 6.66019 -4.33449
548000 2174.11 6.66839 -4.33394
549000 2166.94 6.67649 -4.32797
550000 2168.94 6.67244 -4.32469
551000 2155.46 6.66803 -4.33841
552000 2171.82 6.66259 -4.34154
553000 2164.41 6.66489 -4.34579
554000 2173.64 6.66597 -4.33466
555000 2162.24 6.67767 -4.33429
556000 2167.43 6.66928 -4.33843
557000 2148.69 6.66813 -4.34705
558000 2154.03 6.66952 -4.33633
559000 2162.78 6.67479 -4.33525
560000 2165.52 6.67479 -4.33292
561000 2157.94 6.6754 -4.33431
562000 2161.13 6.68092 -4.3245
563000 2155.9 6.67827 -4.32368
564000 2158.53 6.67248 -4.33727
565000 2155.96 6.67501 -4.34059
566000 2163.63 6.66945 -4.34377
567000 2153.69 6.6759 -4.33552
568000 2166.4 6.68269 -4.33139
569000 2154.34 6.67456 -4.34112
570000 2138.87 6.6732 -4.34322
571000 2151.73 6.68022 -4.33578
572000 2150.7 6.67964 -4.33493
573000 2146.04 6.68603 -4.32871
574000 2148.1 6.67959 -4.33619
575000 2140.3 6.68261 -4.33575
576000 2142.49 6.687 -4.33144
577000 2142.86 6.67961 -4.348
578000 2133.19 6.68364 -4.34342
579000 2150.03 6.6758 -4.33998
580000 2148.98 6.68052 -4.34587
581000 2138.76 6.68019 -4.34775
582000 2129.04 6.68698 -4.3407
583000 2155.26 6.67797 -4.34523
584000 2129.79 6.67923 -4.34694
585000 2136.09 6.68137 -4.34631
586000 2127.43 6.68466 -4.34294
587000 2142.97 6.68335 -4.34851
588000 2128.46 6.68372 -4.34715
589000 2130.86 6.68152 -4.35049
590000 2133.31 6.68788 -4.34409
591000 2136.77 6.68739 -4.34155
592000 2126.1 6.68561 -4.34747
593000 2129.95 6.68459 -4.35446
594000 2131.68 6.68612 -4.3482
595000 2133.2 6.6868 -4.34703
596000 2141.11 6.68546 -4.34841
597000 2110.41 6.68519 -4.35575
598000 2130.07 6.68354 -4.35131
599000 2123.43 6.68996 -4.34766
600000 2119.02 6.68675 -4.36053
601000 2118.81 6.69148 -4.34936
602000 2120.18 6.69073 -4.34835
603000 2115.87 6.69586 -4.34304
604000 2111.48 6.69018 -4.35287
605000 2104.23 6.68934 -4.35622
606000 2112.3 6.68999 -4.35625
607000 2119.22 6.69588 -4.34884
608000 2125.38 6.69199 -4.34968
609000 2118.58 6.69298 -4.35722
610000 2111.11 6.69665 -4.3495
611000 2103.01 6.69949 -4.34897
612000 2110.41 6.69129 -4.35502
613000 2113.51 6.69095 -4.3617
614000 2090.16 6.69106 -4.37005
615000 2101.93 6.69619 -4.35584
616000 2111.51 6.69391 -4.35404
617000 2098.91 6.69926 -4.35456
618000 2107.46 6.69006 -4.36524
619000 2097.73 6.69251 -4.36663
620000 2101.5 6.69236 -4.36821
621000 2102.45 6.69937 -4.35411
622000 2104.04 6.70564 -4.34754
623000 2081.16 6.69655 -4.36714
624000 2101.51 6.69973 -4.36074
625000 2101.05 6.703 -4.35586
626000 2100.17 6.70058 -4.36228
627000 2090.35 6.69721 -4.36334
628000 2086.87 6.69496 -4.36497
629000 2081.34 6.70208 -4.36506
630000 2091.14 6.7067 -4.36378
631000 2095.33 6.70768 -4.35809
632000 2097.85 6.70341 -4.3569
633000 2091.32 6.70758 -4.35896
634000 2089.55 6.70917 -4.35553
635000 2085.25 6.70755 -4.3625
636000 2082.45 6.70109 -4.3714
637000 2082.27 6.70297 -4.35936
638000 2083.81 6.70818 -4.35859
639000 2081 6.70673 -4.36758
640000 2081.88 6.70786 -4.36332
641000 2082.74 6.70394 -4.35884
642000 2080.1 6.70288 -4.36735
643000 2084.54 6.69973 -4.36231
644000 2069.44 6.70739 -4.36666
645000 2074.34 6.7019 -4.36648
646000 2062.22 6.70614 -4.37105
647000 2069.7 6.70452 -4.3728
648000 2080.42 6.707 -4.36953
649000 2066.4 6.71426 -4.36279
650000 2068.09 6.71261 -4.36135
651000 2063.52 6.71126 -4.3681
652000 2071.8 6.70727 -4.37519
653000 2056.42 6.71615 -4.36647
654000 2068.7 6.71037 -4.36412
655000 2062.05 6.71216 -4.37521
656000 2060.94 6.70983 -4.3717
657000 2053.3 6.71166 -4.37064
658000 2057.68 6.71091 -4.36672
659000 2070.4 6.70986 -4.36875
660000 2065.69 6.71418 -4.36689
661000 2056.77 6.71112 -4.3692
662000 2049.89 6.71971 -4.36742
663000 2055.99 6.71157 -4.37107
664000 2057.81 6.71511 -4.37072
665000 2062 6.71764 -4.37329
666000 2052.67 6.71287 -4.37575
667000 2046.33 6.71728 -4.38017
668000 2068.34 6.71825 -4.36887
669000 2053.38 6.72148 -4.36788
670000 2057.79 6.71883 -4.37297
671000 2049.29 6.71368 -4.38232
672000 2055.83 6.71424 -4.37175
673000 2047.57 6.72156 -4.37035
674000 2039.91 6.72104 -4.37968
675000 2046.7 6.7236 -4.37536
676000 2042.07 6.7193 -4.37683
677000 2042.64 6.72617 -4.37268
678000 2051.59 6.72125 -4.37287
679000 2041.67 6.71806 -4.38439
680000 2048 6.71814 -4.38296
681000 2035.6 6.71978 -4.38536
682000 2035.51 6.71759 -4.38965
683000 2041.02 6.72225 -4.37963
684000 2034.94 6.71993 -4.37899
685000 2040.57 6.72677 -4.37571
686000 2031.44 6.72423 -4.38602
687000 2035.38 6.72826 -4.37285
688000 2034.44 6.73651 -4.37109
689000 2029.62 6.72269 -4.38096
690000 2035.3 6.72227 -4.38712
691000 2029.7 6.72728 -4.38572
692000 2031.56 6.73175 -4.37231
693000 2027 6.73191 -4.37503
694000 2019.32 6.73038 -4.38303
695000 2031.9 6.7248 -4.39087
696000 2024.77 6.7343 -4.38064
697000 2019.74 6.72373 -4.39203
698000 2019.65 6.72509 -4.39267
699000 2021.76 6.72593 -4.39148
700000 2012.54 6.72498 -4.3902
701000 2023.73 6.73478 -4.37976
