# Time-averaged data for fix OUT
# TimeStep v_vT v_rho v_ent
540000 697.306 7.205 -4.84515
541000 702.871 7.20598 -4.84229
542000 701.689 7.20399 -4.84643
543000 700.747 7.20337 -4.8474
544000 701.481 7.20304 -4.84801
545000 699.218 7.202 -4.8503
546000 692.795 7.20413 -4.85032
547000 703.94 7.20383 -4.84753
548000 696.53 7.20098 -4.85079
549000 698.815 7.20169 -4.8497
550000 702.103 7.20226 -4.84669
551000 699.122 7.20362 -4.84689
552000 705.21 7.2037 -4.84421
553000 704.709 7.20739 -4.84052
554000 700.251 7.20612 -4.84266
555000 699.201 7.2059 -4.84582
556000 701.604 7.20389 -4.84696
557000 697.379 7.20139 -4.85252
558000 700.378 7.2001 -4.85284
559000 691.912 7.19895 -4.85729
560000 697.879 7.20234 -4.8504
561000 701.665 7.20386 -4.84645
562000 698.176 7.20692 -4.84414
563000 699.464 7.20351 -4.84649
564000 699.205 7.20401 -4.84666
565000 699.752 7.20138 -4.85235
566000 696.147 7.20502 -4.84288
567000 697.815 7.20417 -4.84427
568000 701.576 7.20823 -4.8391
569000 700.477 7.20449 -4.84387
570000 701.902 7.2035 -4.84771
571000 701.96 7.20136 -4.84933
572000 699.624 7.20343 -4.84694
573000 698.154 7.20839 -4.84037
574000 702.893 7.20434 -4.84629
575000 699.896 7.20189 -4.85104
576000 699.797 7.20049 -4.85136
577000 699.334 7.20426 -4.84726
578000 697.461 7.20518 -4.8455
579000 701.19 7.20335 -4.84736
580000 705.347 7.20224 -4.8488
581000 702.661 7.20341 -4.84832
582000 696.904 7.20357 -4.84954
583000 699.352 7.20253 -4.84774
584000 700.913 7.20332 -4.84839
585000 699 7.20629 -4.84277
586000 698.635 7.20634 -4.84307
587000 700.801 7.20442 -4.84536
588000 702.381 7.20352 -4.84801
589000 698.933 7.20114 -4.85094
590000 698.236 7.20063 -4.85113
591000 697.398 7.20072 -4.85205
592000 699.859 7.20386 -4.8468
593000 700.537 7.20537 -4.84539
594000 697.377 7.20567 -4.84478
595000 699.408 7.20405 -4.84567
596000 698.047 7.20296 -4.8495
597000 700.457 7.20104 -4.85017
598000 697.235 7.2004 -4.85546
599000 699.525 7.20027 -4.85224
600000 700.663 7.20164 -4.85164
601000 696.909 7.20159 -4.85113
602000 705.731 7.20204 -4.84715
603000 700.638 7.20374 -4.84841
604000 702.821 7.20059 -4.85196
605000 699.99 7.20369 -4.8489
606000 699.882 7.19905 -4.85434
607000 700.133 7.19784 -4.8583
608000 695.583 7.20001 -4.85109
609000 696.758 7.20439 -4.84968
610000 700.212 7.20005 -4.85237
611000 699.76 7.19998 -4.85229
612000 699.344 7.20088 -4.85295
613000 700.637 7.20012 -4.85263
614000 698.949 7.20381 -4.8468
615000 700.244 7.20508 -4.84613
616000 700.948 7.20524 -4.8446
617000 697.249 7.204 -4.84464
618000 701.768 7.2031 -4.84942
619000 700.027 7.20366 -4.84588
620000 702.289 7.20199 -4.84794
621000 702.631 7.20416 -4.84574
622000 699.42 7.20641 -4.84335
623000 693.052 7.20635 -4.8441
624000 702.423 7.20369 -4.84643
625000 697.88 7.2034 -4.84657
626000 697.341 7.20455 -4.84635
627000 698.689 7.20435 -4.84486
628000 699.161 7.20306 -4.85073
629000 702.17 7.20389 -4.84691
630000 701.592 7.20417 -4.84654
631000 697.852 7.20767 -4.84052
632000 701.525 7.20763 -4.84047
633000 702.461 7.20399 -4.84702
634000 703.563 7.20074 -4.84949
635000 703.843 7.2022 -4.84865
636000 700.742 7.20271 -4.84816
637000 702.372 7.20516 -4.8445
638000 700.23 7.20538 -4.84658
639000 701.887 7.20478 -4.84452
640000 697.185 7.20313 -4.85033
641000 701.28 7.20335 -4.84738
642000 697.489 7.20378 -4.84959
643000 696.55 7.20439 -4.84811
644000 702.722 7.20172 -4.85005
645000 693.453 7.20096 -4.85202
646000 696.781 7.20006 -4.85194
647000 696.575 7.20233 -4.85005
648000 700.173 7.20248 -4.84665
649000 697.231 7.20393 -4.84811
650000 699.901 7.20246 -4.84837
651000 695.771 7.20673 -4.84571
652000 698.741 7.20671 -4.84285
653000 700.609 7.20422 -4.84618
654000 697.517 7.20408 -4.84847
655000 704.672 7.20395 -4.84618
656000 696.671 7.20273 -4.84955
657000 702.545 7.20173 -4.84964
658000 703.193 7.2021 -4.84924
659000 695.678 7.20291 -4.85099
660000 701.049 7.19881 -4.85517
661000 697.803 7.19912 -4.85661
662000 701.4 7.20022 -4.85243
663000 696.291 7.20296 -4.85056
664000 700.651 7.2035 -4.85015
665000 699.102 7.2018 -4.84931
666000 699.765 7.20675 -4.84417
667000 701.209 7.20348 -4.84732
668000 698.698 7.20104 -4.85331
669000 698.523 7.19875 -4.85447
670000 700.63 7.20287 -4.84972
671000 701.159 7.2025 -4.84888
672000 702.927 7.2025 -4.84864
673000 697.967 7.20437 -4.84519
674000 701.38 7.2062 -4.84409
675000 696.997 7.20437 -4.84599
676000 702.546 7.20019 -4.85217
677000 694.82 7.20389 -4.84773
678000 701.902 7.20282 -4.84936
679000 700.05 7.20331 -4.84939
680000 699.036 7.2057 -4.84402
681000 698.549 7.20816 -4.83938
682000 699.595 7.2087 -4.83882
683000 700.381 7.20782 -4.83935
684000 698.141 7.20517 -4.84515
685000 701.971 7.2043 -4.84553
686000 700.678 7.20527 -4.84642
687000 705.3 7.2024 -4.84613
688000 698.453 7.20517 -4.8447
689000 700.969 7.20659 -4.84388
690000 698.192 7.2038 -4.84846
691000 697.122 7.20339 -4.85093
692000 698.973 7.20045 -4.85296
693000 702.701 7.20048 -4.85156
694000 698.926 7.20166 -4.85258
695000 703.213 7.20142 -4.85101
696000 705.108 7.20291 -4.84827
697000 701.288 7.20352 -4.84803
698000 702.749 7.20102 -4.8511
699000 697.573 7.1992 -4.85668
700000 699.201 7.2019 -4.8493
701000 700.741 7.20174 -4.85033
702000 700.481 7.20132 -4.85198
703000 699.188 7.20241 -4.85171
704000 698.95 7.20285 -4.84623
705000 700.681 7.20535 -4.84613
706000 696.437 7.20573 -4.84468
707000 696.337 7.20539 -4.84641
708000 704.208 7.19945 -4.85386
709000 699.652 7.19986 -4.85536
710000 701.045 7.20105 -4.85109
711000 700.633 7.20451 -4.84665
712000 697.813 7.20244 -4.85159
713000 703.987 7.20062 -4.85134
714000 700.228 7.20005 -4.85248
715000 701.334 7.20223 -4.84984
716000 705.213 7.20273 -4.84591
717000 698.667 7.20392 -4.84674
718000 697.364 7.20473 -4.84581
719000 701.624 7.2018 -4.85122
720000 697.691 7.20097 -4.85275
721000 699.104 7.20216 -4.8494
722000 698.276 7.20548 -4.84391
723000 697.132 7.20341 -4.84858
724000 699.296 7.2062 -4.84449
725000 697.662 7.20474 -4.84801
726000 701.401 7.20021 -4.85127
727000 699.016 7.19986 -4.85573
728000 699.588 7.20222 -4.84986
729000 701.191 7.20253 -4.84999
730000 702.669 7.20502 -4.84264
731000 700.049 7.20512 -4.84575
732000 703.842 7.20515 -4.84369
733000 700.186 7.20413 -4.84788
734000 699.267 7.20144 -4.85056
735000 700.401 7.20332 -4.85015
736000 699.425 7.20354 -4.84759
737000 701.692 7.2057 -4.84364
738000 696.821 7.20461 -4.84695
739000 698.5 7.20508 -4.84456
740000 695.986 7.20422 -4.84802
741000 699.505 7.20368 -4.84646
